"state_name","date","year","PVI","age_65_plus","gender_female","race_white","educ_hs_or_less","density","state_unemployment","nat_price_index","nat_gdp","stock_market","voter_turnout","net_approval","democratic_vote_share_adj","next_election_date","next_election_winner"
"Alaska","1980-11-01",1980,-0.198572177068256,0.0321813576969962,0.475559702519845,0.781612615558318,0.461660531437815,0.646667525777566,9.6,0.104851330203443,0.0186492512701093,0.479768786127168,0.587,-18.1350158604157,0.327008143551589,"1980-11-04","Republican"
"Alaska","1984-11-01",1984,-0.244659078120935,0.0284846063176825,0.469505108033125,0.75988589415017,0.443963173349377,0.733240249797798,9.5,0.0415430267062316,0.00820862811487655,-0.0027247956403269,0.605,-21.8242014445046,0.309440873522836,"1984-11-06","Republican"
"Alaska","1988-11-01",1988,-0.208275172620212,0.0422030365607457,0.491472399013859,0.743513542121743,0.43451184658998,0.881042531076359,8.2,0.0424610051993066,0.0133249582322765,-0.0421940928270044,0.564,-17.8431926877332,0.378366825657466,"1988-11-08","Republican"
"Alaska","1992-11-01",1992,-0.173358418155389,0.0516708266087548,0.492011868261029,0.743364118846516,0.419531048711168,0.847050954884808,8.4,0.0312046444121914,0.0104316468781038,0.153225806451613,0.663,21.7968830401155,0.434257379613298,"1992-11-03","Democrat"
"Alaska","1996-11-01",1996,-0.191748972901202,0.0399257100737326,0.481792706254366,0.797334758801423,0.328864323799485,1.00407632296013,7.5,0.0325309043591411,0.0103838198802988,0.328930817610063,0.598,19.6340055883952,0.395714974941662,"1996-11-05","Democrat"
"Alaska","2000-11-01",2000,-0.277620687723694,0.0494280307626055,0.49331726017747,0.747294472682128,0.320478117021628,1.09679491722862,6.4,0.0344418052256532,0.00622889589411302,0.107893388006151,0.681,20.1917953028563,0.320630514362708,"2000-11-07","Republican"
"Alaska","2004-11-01",2004,-0.348850248159829,0.0746494034063401,0.491855779226639,0.686662773690352,0.354023127731053,1.07678435355579,7.2,0.0362162162162161,0.0100167411177225,0.17308868501529,0.691,0.680678945460286,0.367737170187537,"2004-11-02","Republican"
"Alaska","2008-11-01",2008,-0.270742971984216,0.0723135990029123,0.490284144503685,0.744500635467426,0.339059113792207,1.1177481572919,6.9,0.0109991747061668,-0.00910379412712603,-0.199298813376483,0.68,37.4556307759601,0.389352150834029,"2008-11-04","Democrat"
"Alaska","2012-11-01",2012,-0.281076606855803,0.0810841508166578,0.491364865463322,0.733918067710788,0.340523960319063,1.18041832483548,7,0.0179601970339263,0.00113873245779605,0.144192256341789,0.587,-0.372406452736278,0.426847095184396,"2012-11-06","Democrat"
"Alaska","2016-11-01",2016,-0.212825644162481,0.0959256190742911,0.494994957663187,0.626894660375397,0.335383683832653,1.17960351466791,6.9,0.0167046891608582,0.00629298346782337,0.0162974009373669,0.61,9.42744323299858,0.416143452889319,"2016-11-08","Republican"
"Alabama","1980-11-01",1980,0.0234990284977361,0.110145071131349,0.518188396236708,0.710908761814757,0.609279060663026,73.0934757503536,9.6,0.104851330203443,0.0186492512701093,0.479768786127168,0.492,-18.1350158604157,0.493236616929605,"1980-11-04","Republican"
"Alabama","1984-11-01",1984,0.097476395703269,0.115347422851918,0.514685984129213,0.76596117680331,0.580573115480918,76.3388040845589,10,0.0415430267062316,0.00820862811487655,-0.0027247956403269,0.509,-21.8242014445046,0.387366046486817,"1984-11-06","Republican"
"Alabama","1988-11-01",1988,-0.00827317648523189,0.112027614150709,0.524048951934222,0.717767666414982,0.573077592350824,78.1311178282858,7.4,0.0424610051993066,0.0133249582322765,-0.0421940928270044,0.475,-17.8431926877332,0.402544316019111,"1988-11-08","Republican"
